locationid,study_county,latitude,longitude,ctadi_score,refined_need_percentile,trial_access_disadvantage_percentile,weighted_avg_miles_reduced,weighted_distance_reduction,target_tracts_improved,target_tracts_within_5mi_after,target_tracts_within_10mi_after,modeled_depression_burden_within_5mi_after,modeled_depression_burden_within_10mi_after,critical_deserts_within_5mi_after,critical_deserts_within_10mi_after,optimization_rank
34017013500,"Hudson County, NJ",40.7506025,-74.1506335,80.90998238215019,79.33884297520662,82.51223491027733,5.158185086972227,157637.37563732514,60,43,52,23617.733999999997,29372.277000000002,5,7,87
34013006800,"Essex County, NJ",40.7191013,-74.1737618,89.89984045567162,94.9090909090909,85.15497553017944,5.156786371525371,157594.63001486525,46,45,50,25348.948,28353.621,6,6,88
34017012500,"Hudson County, NJ",40.7700282,-74.1515041,44.05293278982567,23.669421487603305,81.99021207177815,5.132705908205251,156858.71593308836,61,40,55,22059.472999999998,30579.142,5,8,89
34013005400,"Essex County, NJ",40.7200828,-74.2032278,90.15207873867713,92.36363636363636,87.99347471451875,5.131364270719567,156817.71464896732,46,46,50,25891.944999999996,28353.621,6,6,90
34013013200,"Essex County, NJ",40.732213,-74.2173723,82.74434198664167,76.72727272727272,89.23327895595432,5.127747672576861,156707.18913847508,51,46,50,25891.944999999996,28353.621,6,6,91
34017012900,"Hudson County, NJ",40.7589129,-74.1485287,71.42079520700554,62.51239669421488,81.59869494290375,5.116498366737928,156363.4032873877,61,43,52,23617.733999999997,29372.277000000002,5,7,92
34013007600,"Essex County, NJ",40.7300384,-74.155392,84.10113368785069,85.65289256198348,82.57748776508971,5.098120202442524,155801.75504489322,52,44,50,24431.811999999998,28353.621,6,6,93
34013004200,"Essex County, NJ",40.7256766,-74.2134274,79.489913874167,71.30578512396694,88.61337683523655,5.091154753693781,155588.88655677685,48,46,50,25891.944999999996,28353.621,6,6,94
34013012600,"Essex County, NJ",40.7350915,-74.2215294,74.61080896831031,62.247933884297524,89.42903752039152,5.08447621104267,155384.78609918334,53,46,50,25891.944999999996,28353.621,6,6,95
34017013900,"Hudson County, NJ",40.7384835,-74.1512501,55.44253169584261,38.31404958677686,80.2283849918434,5.081900517172657,155306.0712769604,58,43,50,23617.733999999997,28353.621,5,6,96
34013007000,"Essex County, NJ",40.7223247,-74.1612616,88.88178187081499,94.84297520661157,83.2952691680261,5.076909013142049,155153.52777908253,48,43,50,24123.135999999995,28353.621,5,6,97
34013015600,"Essex County, NJ",40.7890843,-74.202714,40.96753615048309,17.81818181818182,94.19249592169658,5.074825308168918,155089.8484465211,61,37,62,20473.662,34035.596,6,8,98
34013002400,"Essex County, NJ",40.741788,-74.2261363,76.22806691673861,62.71074380165289,92.65905383360521,5.062382470597547,154709.5875161434,54,46,50,25891.944999999996,28353.621,6,6,99
34013015500,"Essex County, NJ",40.7922068,-74.187749,47.9659413859212,24.760330578512395,92.92006525285481,5.05763233368351,154564.42034892834,61,35,62,19762.867,34035.596,6,8,100
